date,team,points,assists,biggest lead,blocks,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,lead changes,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points in the paint,rebounds,rest,site,site streak,steals,streak,team rebounds,three pointers attempted,three pointers made,times tied,total,turnovers,wins,o:team,o:points,o:assists,o:biggest lead,o:blocks,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:losses,margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:points in the paint,o:rebounds,o:rest,o:site,o:site streak,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:turnovers,o:wins,season
20091122,Lakers,101,25,28,4,32,10,99,40,16,21,19,13,3,3,16,19,21,23,0,1,17,0,60,49,2,home,3,7,2,7,14,2,1,200.0,9,9,Thunder,85,20,2,15,34,13,86,32,21,23,18,6,16,-19,-21,-23,1,0,17,44,51,1,away,1,6,1,13,23,3,19,7,2009
20091122,Raptors,96,19,13,2,35,9,77,34,27,28,22,14,14,7,-8,6,0,-1,1,0,8,0,42,43,1,home,1,4,1,8,16,6,12,208.0,9,6,Magic,104,19,13,0,32,4,83,34,20,35,27,3,-8,-6,0,1,0,1,14,28,46,1,away,-1,3,4,9,32,9,7,10,2009
20091122,Suns,117,25,29,6,29,24,73,42,17,25,22,14,2,3,26,3,21,16,0,0,9,0,44,38,2,home,-2,7,-1,4,18,11,1,207.5,14,10,Pistons,91,18,3,4,22,17,89,38,22,12,8,8,26,-3,-21,-16,0,0,17,42,39,0,away,-3,8,-4,8,18,7,13,5,2009
20091123,Clippers,91,20,8,3,28,14,83,35,16,22,19,15,7,9,4,-1,-1,-3,0,1,16,0,40,44,2,home,1,10,1,4,14,2,8,192.0,13,5,Timberwolves,87,18,8,3,29,12,76,33,22,18,14,12,4,1,1,3,1,0,11,38,40,1,away,-1,8,-12,10,16,7,21,1,2009
20091123,Grizzlies,116,21,21,7,27,10,76,41,25,42,31,14,0,9,11,7,17,10,1,0,11,0,62,38,1,home,1,7,-1,10,9,3,0,206.5,16,4,Kings,105,19,0,1,25,9,83,41,29,23,17,7,11,-7,-17,-10,0,1,10,60,35,1,away,-2,8,-3,11,16,6,21,5,2009
20091123,Spurs,112,24,21,3,33,10,78,40,14,26,22,12,7,6,14,5,12,-1,0,0,13,0,48,46,1,home,2,5,1,10,21,10,3,193.0,16,5,Bucks,98,24,2,5,20,13,83,41,21,14,9,3,14,-5,-12,1,0,0,9,40,29,1,away,-1,9,3,4,16,7,9,8,2009
20091123,Trailblazers,122,24,24,4,33,4,73,42,18,40,32,16,8,5,24,3,10,15,0,0,14,0,50,47,1,home,1,2,1,7,15,6,4,183.5,10,10,Bulls,98,23,6,4,19,8,80,37,28,22,18,6,24,-3,-10,-15,0,0,8,32,27,1,away,-3,4,-2,5,13,6,6,6,2009
20091124,Jazz,94,24,5,3,26,12,77,38,20,18,15,14,6,6,-10,3,-16,-1,0,0,11,0,54,37,2,home,1,5,3,9,10,3,10,197.0,24,7,Thunder,104,25,19,6,25,20,76,37,18,25,22,7,-10,-3,16,1,0,0,6,30,31,1,away,-1,10,-1,7,18,8,16,7,2009
20091124,Lakers,100,25,25,3,45,10,86,40,12,18,15,14,4,3,10,6,21,10,0,0,15,0,44,60,1,home,4,6,3,8,21,5,3,212.0,25,10,Knicks,90,25,1,6,27,10,90,35,23,12,9,10,10,-6,-21,-10,0,0,9,34,36,1,away,1,13,-1,3,33,11,14,3,2009
20091124,Mavericks,103,26,9,6,32,22,82,38,20,25,23,14,17,3,-8,2,4,4,0,0,9,0,36,41,3,home,2,12,5,2,15,4,11,217.0,18,10,Warriors,111,20,8,2,36,30,88,42,22,21,17,8,-8,-2,-4,-4,0,0,10,54,46,3,away,1,15,1,7,21,10,21,4,2009
